Artikelnummer;Bezeichnung;EAN;Netto
18-100605;"Malbuch Mädchen ""SC Freiburg""";4251201420968;3.77
18-100604;"Malbuch Jungs ""SC Freiburg""";4251201420944;3.77
18-100600;"Badeente ""Santa""";4251201420975;3.8
18-100599;"Schlüsselanhänger Mini-Fußballschuh ""SC Freiburg""";4057613210131;6.16
18-100598;"Mini-Fußballschuh ""SC Freiburg""";4057613210124;6.16
18-100595;"Fußmatte ""SC Freiburg""";4260361753113;10.56
18-100594;"Puzzle ""Füchsle""";4057613210056;3.8
18-100589;"Fußball ""Autogramm""";4251111203682;8.79
18-100588;"Wecker ""Fußball""";4048839802385;9.8
18-100587;"Gymbag ""Greif""";4057613209753;6.81
18-100586;"Schlafanzug ""SC Freiburg II"", XXL";4251201458664;23.5
18-100586;"Schlafanzug ""SC Freiburg II"", Xl";4251201458657;23.5
18-100586;"Schlafanzug ""SC Freiburg II"", S";4251201458626;23.5
18-100586;"Schlafanzug ""SC Freiburg II"", M";4251201458633;23.5
18-100586;"Schlafanzug ""SC Freiburg II"", L";4251201458640;23.5
18-100586;"Schlafanzug ""SC Freiburg II"", 3XL";4251201458671;23.5
18-100585;"Kinder SA ""SC Freiburg II"", 164";4251201458718;21.16
18-100585;"Kinder SA ""SC Freiburg II"", 152";4251201458701;21.16
18-100585;"Kinder SA ""SC Freiburg II"", 140";4251201458695;21.16
18-100585;"Kinder SA ""SC Freiburg II"", 128";4251201458688;21.16
18-100584;"Magic Mug ""Sehenswürdigkeiten""";4061194001828;7.74
18-100583;"Buch ""Das Freiburg Fieber""";9783928013895;11.1
18-100581;"Badeente ""Tracht""";4260537987373;3.8
18-100580;"Gartenzwerg ""Stehplatz""";4260602031154;16.92
18-100577;Aufkleber-Set II DINA 5;4260370443067;2.72
18-100576;Grußetiketten-Set;4260370443050;2.34
18-100575;"Autoaufkleber "" 'Sportclub""";4260370443043;9.23
18-100574;"Autoaufkleber ""SC Freiburg""";4260370443036;5.43
18-100573;"3D-Aufkleber ""Greif""";4260370443029;2.44
18-100572;"Minirahmen ""25 Jahre Aufstieg""";4042332062703;8.36
18-100570;"Box Jubiläum ""25 Jahre Aufstieg""";4042332062680;8.36
18-100567;"Baby-Jogginghose ""Streifen"" 98";9008433083127;9.26
18-100567;"Baby-Jogginghose ""Streifen"" 92";9008433083110;9.26
18-100567;"Baby-Jogginghose ""Streifen"" 86";9008433083103;9.26
18-100567;"Baby-Jogginghose ""Streifen"" 80";9008433083097;9.26
18-100567;"Baby-Jogginghose ""Streifen"" 74";9008433083080;9.26
18-100567;"Baby-Jogginghose ""Streifen"" 68";9008433083073;9.26
18-100567;"Baby-Jogginghose ""Streifen"" 62";9008433083066;9.26
18-100567;"Baby-Jogginghose ""Streifen"" 56";9008433083059;9.26
18-100566;"Baby-Jogginghose ""Wappen"" 98";9008433083042;9.26
18-100566;"Baby-Jogginghose ""Wappen"" 92";9008433083035;9.26
