Artikelnummer;Artikelbezeichnung;EAN;Netto
6825271;Musikkreisel sortiert        ;4006942523009;8.3
7100301;Sandeimer Summertime         ;8000796023018;0.99
7101146;Sandformen im Netz 4er       ;8000796006097;1.05
7101453;Schnabeleimer 4-fach         ;8000796004062;1.19
7106226;Sandformen Kuchen            ;8000796036155;0.51
7106525;Sandeimer transparent        ;8000796023124;1.45
7108605;Sandformen Eis 6teilig       ;8000796034052;1.55
7124097;Schaufel ca.41cm             ;8000796044105;0.7
7124116;Schaufel ca. 56cm            ;8000796044006;1.29
7200011;Schleudersegler Spatz        ;4001664014484;3.94
7200196;Kinderdrachen Caruso         ;4001664011964;3.32
7201007;Drachen Pfauenauge           ;4001664011032;4.38
7201016;Drachen Goldadler            ;4001664011803;4.38
7201088;Sport Drachen Top Loop       ;4001664010882;8.97
7201089;Sportlenkdrachen 160X80 C    ;4001664010899;10.2
7201095;Lenkdrachen Raver            ;4001664010950;8.02
7201124;PE Drachen Seeadler122X68    ;4001664011247;5.55
7201133;Kd.Drachen Rocketboy         ;4001664011339;5.1
7201136;Drachen Dragon 3D            ;4001664011360;8.48
7201146;Kinderdrachen Steinadler     ;4001664011469;5.55
7201151;Drachen Butterfly 95X63cm    ;4001664011513;7.5
7201159;Drachen Rainbow 54X98        ;4001664011599;5.6
7201177;PE Drachen Lilly 75X48 cm    ;4001664011773;3.32
7201181;Einleiner Drachen Elwin      ;4001664011810;4.38
7201682;Wirly Propeller-Spiel        ;4001664016822;1.68
7201684;Polizei Helikopter 36X27     ;4001664016846;3.89
7201689;Twin Flash mit LEDs          ;4001664016891;5.28
7202092;Katapult-Flugkreisel         ;4008332720920;0.95
7230002;Pustefix-Kleinpackung        ;4001648692103;14.5
7230007;Pustefix Grosser Ring        ;4001648695609;3.55
7230310;Pustefix gross 70ml          ;4001648693100;0.59
7230555;Pustefix Multi Bubble        ;4001648695555;2.95
7239722;Pustefix Nachfüllflasche     ;4001648697221;2.29
7239725;Pustefix Nachfüllflasche     ;4001648697252;2.65
7260594;Marine Rescue Boot           ;8713219199770;4.79
7350049;Soft-Bälle 3 Stück           ;8000796009531;1.25
7350690;"Jumbo Ball 14"" Vinyl         ";4006149506904;2.99
7350758;Softball Ø ca. 12cm sort.    ;4006149507581;1.99
7350760;Volleyball Rainbow Palme     ;4006149507604;2.59
7355075;"Super Softball 8"" sort.      ";4006149507505;3.49
7355084;"Idena Marienkäferball 5""     ";4002372508401;1.3
7355518;"Ball Cars 9"" Vinyl           ";4006149505181;2.49
7357205;Schaumstoff-Wasserkanone     ;4008332172057;4.75
7357207;Schaumstoff-Wasserkanone     ;4008332172071;2.75
7360051;Wuschelball medium  Ø 9cm    ;4002129000516;3.9
7371586;Torwarthandschuhe Gr.M       ;4005998210147;4.99
7400014;Idena Boccia 8 Kugeln        ;4002372740146;2.99
7401391;Boccia, je 2 Kugeln in       ;8000796071064;4.45
7406071;Diabolo                      ;4005998760710;3.99
7720100;Tennisring sortiert          ;4006149501008;1.99
7787083;Schaumstoff-Wasserkanone     ;4008332170831;1.95
7879662;Vergrößerungsbecher          ;4006592796624;2.15
8020001;Rocky,100-Schuss-Colt        ;4000908004205;2.75
8020002;Olly 8-Schuss Revolver       ;4000908004304;2.69
8020004;Western Pistole Jerry        ;4000908004328;3.19
8020046;Scout 100Sch. Pistole        ;4000908004212;4.39
8020050;Amorces 100 Schuss Band      ;4000908002201;8.49
8020051;Amorces 8er Schuss Ringe     ;4000908502305;10.79
8020052;Amorces 12 Schuss Ringe      ;4000908502404;10.99
8020286;25/50Schuss Streifenmunit    ;4000908042863;1.03
8082491;Cowboyhut braun              ;8003558249107;2.9
8210036;Pistolenset Cowboy 3-tlg.    ;8003558980406;2.23
8210087;Knicklichter 15er Dose       ;5414635035149;0.99
8212440;Kronen aus Aluminium         ;8003558244003;2.18
8212783;Pistole Cowboy mit Sound     ;8003558278305;2.55
8220080;Kirsch-/Apfelblüten Zweig    ;4326470473455;0.59
8233580;Umhang für Kinder ca.90cm    ;8003558358007;3.99
8270064;Luftschlangen 3er Packung    ;4009775636311;1.09
8270068;Luftschlangen 3er Packung    ;4009775634119;1.09
8280002;Kürbis-Schnitzset            ;4002372828028;1.49
8280053;Brosche/Haarklammer mit      ;8003558952106;1.74
8284024;Blutkapseln 8er              ;8003558402403;0.59
8284031;Dracula-Set, Kunstblut u.    ;8003558403103;1.19
